Name,State,Status,Provisioned Space,Used Space,Host CPU,Host Mem
STL-BAKSQL01P-modeglobal.local,Powered On,Normal,8.49 TB,8.3 TB,754 MHz,8.05 GB
STL-SFGSQL02P-modeglobal.local,Powered On,Normal,7.38 TB,7.32 TB,80 MHz,26.19 GB
STL-SFGSQL03P-modeglobal.local,Powered On,Normal,7.38 TB,7.33 TB,9.28 GHz,63.97 GB
STL-SFGSQL04P-modeglobal.local,Powered On,Normal,7.38 TB,7.32 TB,80 MHz,25.88 GB
DAX-SQL01S-corp.local-may3,Powered On,Normal,7.24 TB,6.46 TB,340 MHz,64.19 GB
DC1-FILE-02,Powered On,Normal,6.11 TB,4.41 TB,180 MHz,16.08 GB
STL-B2BSQL02P-modeglobal.local,Powered On,Normal,5.48 TB,5.42 TB,100 MHz,27.02 GB
STL-B2BSQL03P-modeglobal.local,Powered On,Normal,5.48 TB,5.42 TB,8.1 GHz,63.98 GB
STL-B2BSQL04P-modeglobal.local,Powered On,Normal,5.48 TB,5.42 TB,700 MHz,23.95 GB
STL-SFGSQL02S-modeglobal.local,Powered On,Normal,4.77 TB,3.43 TB,100 MHz,31.83 GB
STL-B2BSQL02S-modeglobal.local,Powered On,Normal,4.73 TB,3.55 TB,100 MHz,29.39 GB
DAX-SQL01P-May3-corp.local,Powered On,Normal,4.66 TB,4.29 TB,2.78 GHz,96.27 GB
LT-SQL-01P,Powered Off,Normal,3.65 TB,2.73 TB,0 Hz,0 B
STL-B2BFIL01P-modeglobal.local,Powered On,Normal,2.55 TB,2.26 TB,1.54 GHz,16.07 GB
STL-B2BSQL04S-modeglobal.local,Powered On,Normal,2.3 TB,2.3 TB,700 MHz,32.14 GB
STL-SFGSQL03S.modeglobal.local,Powered On,Normal,2.3 TB,2.3 TB,300 MHz,31.84 GB
STL-SFGSQL04S.modeglobal.local,Powered On,Normal,2.3 TB,2.3 TB,240 MHz,31.91 GB
STL-B2BSQL03S-modeglobal.local,Powered On,Normal,2.3 TB,2.3 TB,380 MHz,31.84 GB
DC1-VCSA-02,Powered On,Normal,2.02 TB,399.69 GB,660 MHz,19.02 GB
USMEM-D7-DEV,Powered On,Normal,1.72 TB,152.54 GB,80 MHz,24.06 GB
STL-ICCSQL01P-modeglobal.local,Powered On,Normal,1.63 TB,1.18 TB,1.06 GHz,64.2 GB
DAX-DWSQL01-corp.local,Powered On,Normal,1.6 TB,1.17 TB,380 MHz,32.13 GB
STL-B2B01P-modeglobal.local,Powered On,Normal,1.41 TB,600.92 GB,6.74 GHz,72.23 GB
STL-ICCSQL01S-modeglobal.local,Powered On,Normal,1.37 TB,740.24 GB,140 MHz,25.36 GB
DC1-SOL-SQL01.modeglobal.local,Powered On,Normal,1.2 TB,857.51 GB,860 MHz,32.1 GB
STL-SFGFIL01P-modeglobal.local,Powered On,Normal,1.06 TB,675.54 GB,1.34 GHz,16.08 GB
DC1-EXABEAM-01,Powered Off,Normal,956.58 GB,673.54 GB,0 Hz,0 B
STL-B2BFIL01S-modeglobal.local,Powered On,Normal,916.1 GB,854.46 GB,2.2 GHz,16.06 GB
DC1-TRANSFLO,Powered On,Normal,798.1 GB,633.67 GB,200 MHz,8.05 GB
DC1-WNSSQL01,Powered On,Normal,666.11 GB,417.55 GB,640 MHz,16.08 GB
DC1-VCSA-01-Decom,Powered Off,Normal,631.26 GB,435.97 GB,0 Hz,0 B
STL-B2B02P-modeglobal.local,Powered On,Normal,623.14 GB,487.25 GB,780 MHz,64.08 GB
STL-B2B01S-modeglobal.local,Powered On,Normal,532.11 GB,483.66 GB,1.2 GHz,64.18 GB
STL-SFGFIL01S-modeglobal.local,Powered On,Normal,516.1 GB,451.53 GB,120 MHz,16.05 GB
STL-JARVIS-01,Powered On,Normal,462.11 GB,433.19 GB,1.08 GHz,32.11 GB
DC1-SSRS-03P,Powered On,Normal,416.11 GB,148.84 GB,1.1 GHz,16.1 GB
STL-ICC01S-modeglobal.local,Powered On,Normal,414.11 GB,152.41 GB,320 MHz,27.75 GB
STL-SFG02S-modeglobal.local,Powered On,Normal,394.11 GB,293.92 GB,3.28 GHz,56.46 GB
STL-B2B02S-modeglobal.local,Powered On,Normal,393.11 GB,303.62 GB,280 MHz,51.92 GB
STL-SFG01P-modeglobal.local,Powered On,Normal,364.1 GB,271.06 GB,9.36 GHz,64.2 GB
STL-ICC01P-modeglobal.local,Powered On,Normal,364.09 GB,292.98 GB,2.7 GHz,36.16 GB
STL-FILE-01P,Powered On,Normal,358.09 GB,52.04 GB,120 MHz,8.05 GB
STL-SFG01S-modeglobal.local,Powered On,Normal,339.11 GB,301.85 GB,1.4 GHz,50.74 GB
STL-SFG02P-modeglobal.local,Powered On,Normal,339.09 GB,257.18 GB,5.12 GHz,63.88 GB
MTT-DAL-LM-01,Powered On,Normal,328.08 GB,278.37 GB,1.2 GHz,8.05 GB
STL-PSN01P-modeglobal.local,Powered On,Normal,316.09 GB,51.71 GB,100 MHz,16.04 GB
DC1-vROPS-01,Powered On,Normal,290.11 GB,100.65 GB,200 MHz,15.65 GB
DAX-RDS-01P,Powered On,Normal,282.09 GB,101.27 GB,140 MHz,22.38 GB
STL-PSN01S-modeglobal.local,Powered On,Normal,276.1 GB,53.94 GB,240 MHz,16.06 GB
STL-PSN02S-modeglobal.local,Powered On,Normal,276.1 GB,53.11 GB,260 MHz,16.06 GB
STL-PSN02P-modeglobal.local,Powered On,Normal,266.09 GB,50.56 GB,100 MHz,16.04 GB
DC1-SSRS-03D,Powered On,Normal,260.11 GB,117.68 GB,520 MHz,8.07 GB
DC1-AVASOFT-01,Powered On,Normal,226.11 GB,114.56 GB,260 MHz,16.08 GB
